datetime,Distance_82,Distance_83
2024-07-05 04:06:33.697287,0.75,0.48
2024-07-05 04:06:33.806525,0.76,0.48
2024-07-05 04:06:33.819576,0.76,0.52
2024-07-05 04:06:33.929093,0.75,0.52
2024-07-05 04:06:33.942094,0.75,0.49
2024-07-05 04:06:34.052117,0.74,0.49
2024-07-05 04:06:34.065106,0.74,0.48
2024-07-05 04:06:34.189124,0.74,0.46
2024-07-05 04:06:34.311866,0.74,0.49
2024-07-05 04:06:34.421201,0.72,0.49
2024-07-05 04:06:34.435201,0.72,0.46
2024-07-05 04:06:34.544502,0.7,0.46
2024-07-05 04:06:34.557744,0.7,0.51
2024-07-05 04:06:34.667201,0.75,0.51
2024-07-05 04:06:34.680792,0.75,0.46
2024-07-05 04:06:34.789461,0.73,0.46
2024-07-05 04:06:34.803401,0.73,0.45
2024-07-05 04:06:34.912705,0.77,0.45
2024-07-05 04:06:34.926693,0.77,0.5
2024-07-05 04:06:35.036286,0.76,0.5
2024-07-05 04:06:35.049306,0.76,0.48
2024-07-05 04:06:35.158953,0.73,0.48
2024-07-05 04:06:35.172617,0.73,0.52
2024-07-05 04:06:35.282287,0.73,0.52
2024-07-05 04:06:35.295498,0.73,0.5
2024-07-05 04:06:35.405070,0.77,0.5
2024-07-05 04:06:35.419156,0.77,0.49
2024-07-05 04:06:35.528432,0.75,0.49
2024-07-05 04:06:35.542606,0.75,0.48
2024-07-05 04:06:35.896468,0.73,0.48
2024-07-05 04:06:35.910568,0.73,0.51
2024-07-05 04:06:36.019521,0.75,0.51
2024-07-05 04:06:36.033787,0.75,0.51
2024-07-05 04:06:36.142598,0.72,0.51
2024-07-05 04:06:36.156613,0.72,0.51
2024-07-05 04:06:36.266485,0.75,0.51
2024-07-05 04:06:36.280088,0.75,0.53
2024-07-05 04:06:36.389503,0.74,0.53
2024-07-05 04:06:36.403045,0.74,0.5
2024-07-05 04:06:36.511713,0.72,0.5
2024-07-05 04:06:36.525923,0.72,0.47
2024-07-05 04:06:36.635158,0.79,0.47
2024-07-05 04:06:36.649160,0.79,0.47
2024-07-05 04:06:36.757101,0.74,0.47
2024-07-05 04:06:36.771609,0.74,0.46
2024-07-05 04:06:36.880428,0.77,0.46
2024-07-05 04:06:36.895397,0.77,0.49
2024-07-05 04:06:37.003781,0.69,0.49
2024-07-05 04:06:37.017787,0.69,0.48
2024-07-05 04:06:37.126674,0.73,0.48
2024-07-05 04:06:37.140813,0.73,0.48
2024-07-05 04:06:37.250144,0.69,0.48
